,Times jogando em casa,Times visitantes,Resultado casa:visita
0,Atlético-PR,Flamengo,0 : 0
1,Chapecoense,Atlético-MG,0 : 0
2,Cruzeiro,Corinthians,3 : 2
3,Fluminense,Internacional,1 : 1
4,Grêmio,Botafogo,0 : 1
5,Ponte Preta,Coritiba,2 : 0
6,Santos,América-MG,1 : 0
7,São Paulo,Santa Cruz,5 : 0
8,Sport Recife,Figueirense,2 : 0
9,Vitória,Palmeiras,1 : 2
10,Coritiba,Vitória,0 : 1
11,Figueirense,Fluminense,1 : 0
12,Santa Cruz,Grêmio,5 : 1
13,Atlético-MG,São Paulo,1 : 2
14,Flamengo,Santos,2 : 0
15,Internacional,Cruzeiro,1 : 0
16,Palmeiras,Chapecoense,1 : 0
17,Corinthians,Atlético-PR,0 : 0
18,América-MG,Sport Recife,2 : 2
19,Botafogo,Ponte Preta,1 : 1
20,Corinthians,Internacional,1 : 0
21,Chapecoense,São Paulo,2 : 0
22,Flamengo,Coritiba,2 : 2
23,Santa Cruz,Atlético-MG,3 : 3
24,Atlético-PR,Sport Recife,2 : 0
25,Cruzeiro,Santos,2 : 2
26,Grêmio,América-MG,3 : 0
27,Palmeiras,Botafogo,1 : 0
28,Ponte Preta,Fluminense,1 : 0
29,Vitória,Figueirense,4 : 0
30,Atlético-MG,Palmeiras,1 : 1
31,Internacional,Ponte Preta,1 : 1
32,Santos,Vitória,3 : 2
33,São Paulo,Grêmio,1 : 1
34,América-MG,Flamengo,0 : 1
35,Figueirense,Corinthians,1 : 1
36,Sport Recife,Cruzeiro,0 : 1
37,Coritiba,Santa Cruz,1 : 0
38,Botafogo,Chapecoense,0 : 2
39,Fluminense,Atlético-PR,1 : 1
40,Grêmio,Sport Recife,0 : 3
41,Chapecoense,Figueirense,1 : 0
42,Coritiba,Atlético-MG,2 : 0
43,Cruzeiro,Fluminense,4 : 2
44,Palmeiras,Internacional,1 : 0
45,Santa Cruz,América-MG,1 : 0
46,Vitória,Atlético-PR,3 : 2
47,Ponte Preta,Santos,1 : 2
48,São Paulo,Corinthians,4 : 0
49,Flamengo,Botafogo,0 : 0
50,América-MG,São Paulo,1 : 0
51,Figueirense,Grêmio,0 : 0
52,Santos,Palmeiras,1 : 0
53,Botafogo,Coritiba,0 : 0
54,Internacional,Santa Cruz,1 : 1
55,Atlético-MG,Flamengo,2 : 2
56,Atlético-PR,Cruzeiro,1 : 0
57,Corinthians,Chapecoense,1 : 1
58,Fluminense,Vitória,2 : 2
59,Sport Recife,Ponte Preta,1 : 0
60,América-MG,Atlético-PR,1 : 0
61,Atlético-MG,Figueirense,3 : 0
62,Chapecoense,Santos,0 : 1
63,Coritiba,Fluminense,1 : 1
64,Flamengo,Corinthians,2 : 2
65,Grêmio,Internacional,0 : 0
66,Palmeiras,Sport Recife,2 : 1
67,Vitória,Cruzeiro,0 : 1
68,São Paulo,Ponte Preta,2 : 0
69,Santa Cruz,Botafogo,0 : 1
70,Fluminense,São Paulo,1 : 2
71,Santos,Grêmio,1 : 1
72,Sport Recife,Vitória,1 : 0
73,Corinthians,América-MG,2 : 0
74,Ponte Preta,Santa Cruz,3 : 0
75,Atlético-PR,Coritiba,2 : 0
76,Botafogo,Atlético-MG,3 : 2
77,Cruzeiro,Chapecoense,0 : 0
78,Figueirense,Palmeiras,1 : 2
79,Internacional,Flamengo,2 : 1
80,Fluminense,Flamengo,1 : 2
81,Grêmio,Atlético-PR,1 : 0
82,São Paulo,Santos,0 : 1
83,Atlético-MG,América-MG,3 : 0
84,Palmeiras,Cruzeiro,0 : 0
85,Ponte Preta,Vitória,2 : 0
86,Botafogo,Internacional,1 : 0
87,Santa Cruz,Corinthians,2 : 4
88,Coritiba,Figueirense,0 : 0
89,Chapecoense,Sport Recife,3 : 0
90,América-MG,Palmeiras,0 : 2
91,Figueirense,Botafogo,0 : 1
92,Flamengo,Santa Cruz,3 : 0
93,Cruzeiro,Ponte Preta,2 : 0
94,Internacional,Coritiba,1 : 0
95,Sport Recife,São Paulo,1 : 1
96,Corinthians,Atlético-MG,0 : 0
97,Santos,Fluminense,2 : 1
98,Atlético-PR,Chapecoense,3 : 1
99,Vitória,Grêmio,0 : 1
100,Coritiba,América-MG,3 : 0
101,Santa Cruz,Palmeiras,2 : 3
102,Internacional,Figueirense,1 : 0
103,Cruzeiro,Grêmio,1 : 0
104,Botafogo,Corinthians,2 : 0
105,Ponte Preta,Atlético-MG,1 : 2
106,Chapecoense,Vitória,1 : 4
107,Santos,Atlético-PR,2 : 0
108,São Paulo,Flamengo,0 : 0
109,Fluminense,Sport Recife,3 : 1
